"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
y0366,Neomycin+hydroc 0.5/1.5% oint ... Neomycin+hydrocortisone 0.5%/1.5% eye/ear ointment ... ,"3","0"
y0E2h,Azithromycin - chemical ...  ... ,"3","1"
y08g8,Distaclor MR ...  ... ,"3","1"
y02Yw,Dexamethasone ...  ... ,"3","0"
y02Yx,Dexamethasone 500mcg tablet ... Dexamethasone 500micrograms tablet ... ,"3","0"
y02Z7,Dexamethasone phos 4mg/1mL inj ... Dexamethasone phosphate 4mg/1mL injection ... ,"3","0"
y03LQ,Topical hydrocortisone ...  ... ,"3","0"
YaSwP,Co-amoxiclav allergy ...  ... ,"3","1"
YaSwi,Cefuroxime allergy ...  ... ,"3","1"
YaSX6,Clarithromycin adverse react ... Clarithromycin adverse reaction ... ,"3","1"
YaSXM,Ciprofloxacin adverse reaction ...  ... ,"3","1"
YaSYE,Cefaclor adverse reaction ...  ... ,"3","1"
Yadv8,[X]Topic hydrocort advers reac ... [X]Topical hydrocortisone adverse reaction ... ,"3","0"
y02IS,Augmentin 600mg inj pdr ... Augmentin 600mg injection (pdr for recon) ... ,"3","1"
y02IT,Amoxil Fiztab 125mg s/f chewab ... Amoxil Fiztab 125mg s/f chewable tablet ... ,"3","1"
y02If,Augmentin 625mg tablet ...  ... ,"3","1"
y00S0,Min-I-Mix Methylprednis. 1g ... Min-I-Mix Methylprednisolone 1g injection ... ,"3","0"
y02Tf,Ciproxin 100mg/50mL i-v inf ... Ciproxin 100mg/50mL intravenous infusion ... ,"3","1"
y02Tj,Ciprofloxacin 750mg tablet ...  ... ,"3","1"
y01Ss,Prednisolone 20mg stand enema ... Prednisolone 20mg/100mL standard tube retention enema ... ,"3","0"
y01T2,Hydrocort+lignoc 0.2%/1% spray ... Hydrocortisone+lignocaine 0.2%/1% spray ... ,"3","0"
Y73Gt,AR - dexamethasone ... Adverse reaction to dexamethasone ... ,"3","0"
YaSvY,Erythromycin allergy ...  ... ,"3","1"
y0ABT,Canesten Hydrocortisone cream ...  ... ,"3","0"
y0FmH,Exe-Cort Hydrocort 1% crm 15g ... Exe-Cort Hydrocortisone 1% cream 15g ... ,"3","0"
y0FmJ,Exe-Cort Hydrocortisone ...  ... ,"3","0"
YaS9w,Clarithromycin poisoning ...  ... ,"3","1"
YaSBJ,Cefuroxime poisoning ...  ... ,"3","1"
YaSBK,Accidental cefuroxime poison ... Accidental cefuroxime poisoning ... ,"3","1"
y07d1,Klaricid 500mg tablet ...  ... ,"3","1"
y03A3,Hydrocort+clotrimaz 1%/1% crm ... Hydrocortisone+clotrimazole 1%/1% cream ... ,"3","0"
YE1NP,Erythromycin &/or macrolide ++ ... Erythromycin &/or macrolide poisoning ... ,"3","1"
y00th,Hydrocortisone compound preps. ... Hydrocortisone compound preprations ... ,"3","0"
y00tr,Hydrocortisone+antimicrobials ...  ... ,"3","0"
y00ts,Hydrocortisone/neomycin cream ...  ... ,"3","0"
Yalmu,Intentional cefalexin poison ... Intentional cefalexin poisoning ... ,"3","1"
y03Tv,Klaricid 250mg tablet ...  ... ,"3","1"
y0C4h,Dexamethasone 0.1% s-d eye drp ... Dexamethasone sodium phosphate 0.1% single-use eye drops ... ,"3","0"
y0C4i,Minims Dexamet 0.1% s-d eye dr ... Minims Dexamethasone Na phosphate 0.1% s-d eye drops ... Minims Dexamethasone sodium phosphate 0.1% single-use eye drops,"3","0"
y0C4k,Minims Dexamethasone Na phosph ... Minims Dexamethasone sodium phosphate ... ,"3","0"
